id,database_url,sample_id,date_collected,location,host,depth,viromics,core_processor,Final greenhouse GWC (%),Freezer location,GWC %,H2O amount (ml),H2O atom perc,Lab dried GWC (%),Time of sampling,Vial size (ml),Weight (gr),Weight dried (gr),Weight for DNA (gr),Weight for pH (gr),Wet Weight (gr),pH
1288,https://biotite.berkeley.edu/QRLab/1288/detail,HA3_D1_PROTEO,4/27/2022,HA,PNNL,0-10,0,MY,,,,,,,,,,,,,,
1289,https://biotite.berkeley.edu/QRLab/1289/detail,HA3_D2_PROTEO,4/27/2022,HA,PNNL,10-20,0,ES,,,,,,,,,,,,,,
1290,https://biotite.berkeley.edu/QRLab/1290/detail,HA3_D3_PROTEO,4/27/2022,HA,PNNL,20-30,0,ZH,,,,,,,,,,,,,,
1291,https://biotite.berkeley.edu/QRLab/1291/detail,HA3_D4_PROTEO,4/27/2022,HA,PNNL,30-50,0,ZA-A,,,,,,,,,,,,,,
1292,https://biotite.berkeley.edu/QRLab/1292/detail,HA3_D5_PROTEO,4/27/2022,HA,PNNL,50-80,0,JF,,,,,,,,,,,,,,
1293,https://biotite.berkeley.edu/QRLab/1293/detail,HB3_D1_PROTEO,4/27/2022,HB,PNNL,0-10,0,MY,,,,,,,,,,,,,,
1294,https://biotite.berkeley.edu/QRLab/1294/detail,HB3_D2_PROTEO,4/27/2022,HB,PNNL,10-20,0,ES,,,,,,,,,,,,,,
1295,https://biotite.berkeley.edu/QRLab/1295/detail,HB3_D3_PROTEO,4/27/2022,HB,PNNL,20-30,0,ZH,,,,,,,,,,,,,,
1296,https://biotite.berkeley.edu/QRLab/1296/detail,HB3_D4_PROTEO,4/27/2022,HB,PNNL,30-50,0,ZA-A,,,,,,,,,,,,,,
1297,https://biotite.berkeley.edu/QRLab/1297/detail,HB3_D5_PROTEO,4/27/2022,HB,PNNL,50-80,0,JF,,,,,,,,,,,,,,
1298,https://biotite.berkeley.edu/QRLab/1298/detail,HC3_D1_PROTEO,4/27/2022,HC,PNNL,0-10,0,MY,,,,,,,,,,,,,,
1299,https://biotite.berkeley.edu/QRLab/1299/detail,HC3_D2_PROTEO,4/27/2022,HC,PNNL,10-20,0,ES,,,,,,,,,,,,,,
1300,https://biotite.berkeley.edu/QRLab/1300/detail,HC3_D3_PROTEO,4/27/2022,HC,PNNL,20-30,0,ZH,,,,,,,,,,,,,,
1301,https://biotite.berkeley.edu/QRLab/1301/detail,HC3_D4_PROTEO,4/27/2022,HC,PNNL,30-50,0,ZA-A,,,,,,,,,,,,,,
1302,https://biotite.berkeley.edu/QRLab/1302/detail,HC3_D5_PROTEO,4/27/2022,HC,PNNL,50-80,0,JF,,,,,,,,,,,,,,
1303,https://biotite.berkeley.edu/QRLab/1303/detail,AA3_D1_FARCH,4/27/2022,AA,UCB,0-10,0,MY,,,,,,,,,,,,,,
1304,https://biotite.berkeley.edu/QRLab/1304/detail,AA3_D2_FARCH,4/27/2022,AA,UCB,10-20,0,ES,,,,,,,,,,,,,,
1305,https://biotite.berkeley.edu/QRLab/1305/detail,AA3_D3_FARCH,4/27/2022,AA,UCB,20-30,0,ZH,,,,,,,,,,,,,,
1306,https://biotite.berkeley.edu/QRLab/1306/detail,AA3_D4_FARCH,4/27/2022,AA,UCB,30-50,0,ZA-A,,,,,,,,,,,,,,
1307,https://biotite.berkeley.edu/QRLab/1307/detail,AA3_D5_FARCH,4/27/2022,AA,UCB,50-80,0,JF,,,,,,,,,,,,,,
1308,https://biotite.berkeley.edu/QRLab/1308/detail,AB3_D1_FARCH,4/27/2022,AB,UCB,0-10,0,MY,,,,,,,,,,,,,,
1309,https://biotite.berkeley.edu/QRLab/1309/detail,AB3_D2_FARCH,4/27/2022,AB,UCB,10-20,0,ES,,,,,,,,,,,,,,
1310,https://biotite.berkeley.edu/QRLab/1310/detail,AB3_D3_FARCH,4/27/2022,AB,UCB,20-30,0,ZH,,,,,,,,,,,,,,
1311,https://biotite.berkeley.edu/QRLab/1311/detail,AB3_D4_FARCH,4/27/2022,AB,UCB,30-50,0,ZA-A,,,,,,,,,,,,,,
