database_url,id,sample_id,date_collected,location,host,depth,viromics,core_processor,DNA concentration extr1 (ng/ul),DNA loaded for SIP (ug),DNA loaded for SIP (ul),Final greenhouse GWC (%),Freezer location,GWC %,Grams soil DNA extr1,H2O amount (ml),H2O atom perc,Lab dried GWC (%),Time of sampling,Vial size (ml),Volume extr1 (ul),Weight (gr),Weight dried (gr),Weight for DNA (gr),Weight for pH (gr),Wet Weight (gr),pH
https://biotite.berkeley.edu/QRLab/84/detail,84,HC1_D2_18O-7,2022-03-16,HC,UCB,10-20,0,,,,,,4th floor Firestone 2nd row,,,0.6,97,,,,,5.202,,,,,
https://biotite.berkeley.edu/QRLab/86/detail,86,HC1_D3_18O-7,2022-03-16,HC,UCB,20-30,0,,,,,,4th floor Firestone 2nd row,,,1.2,97,,,,,5.146,,,,,
https://biotite.berkeley.edu/QRLab/87/detail,87,HC1_D3_18O-30,2022-03-16,HC,UCB,20-30,0,,,,,,4th floor Banfield mid row,,,1.2,97,,,,,10.15,,,,,
https://biotite.berkeley.edu/QRLab/89/detail,89,HC1_D4_18O-7,2022-03-16,HC,UCB,30-50,0,,,,,,4th floor Firestone 2nd row,,,1.2,97,,,,,9.98,,,,,
https://biotite.berkeley.edu/QRLab/90/detail,90,HC1_D4_18O-30,2022-03-16,HC,UCB,30-50,0,,,,,,4th floor Banfield mid row,,,1.2,97,,,,,9.9,,,,,
https://biotite.berkeley.edu/QRLab/92/detail,92,HC1_D5_18O-7,2022-03-16,HC,UCB,50-80,0,,,,,,4th floor Firestone 2nd row,,,1.2,97,,,,,9.736,,,,,
https://biotite.berkeley.edu/QRLab/93/detail,93,HC1_D5_18O-30,2022-03-16,HC,UCB,50-80,0,,,,,,4th floor Banfield mid row,,,1.2,97,,,,,9.658,,,,,
https://biotite.berkeley.edu/QRLab/97/detail,97,AA1_D1_16O-0,2022-03-17,AA,UCB,0-10,0,,,,,,,,,,,,,,,5.087,,,,,
https://biotite.berkeley.edu/QRLab/98/detail,98,AA1_D1_16O-7,2022-03-17,AA,UCB,0-10,0,,,,,,4th floor Firestone 2nd row,,,0.6,0,,,,,4.963,4.373,,,,
https://biotite.berkeley.edu/QRLab/99/detail,99,AA1_D2_16O-0,2022-03-17,AA,UCB,10-20,0,,,,,,,,,,,,,,,4.94,,,,,
https://biotite.berkeley.edu/QRLab/100/detail,100,AA1_D2_16O-7,2022-03-17,AA,UCB,10-20,0,,,,,,4th floor Firestone 2nd row,,,0.6,0,,,,,5.04,4.47,,,,
https://biotite.berkeley.edu/QRLab/101/detail,101,AA1_D3_16O-0,2022-03-17,AA,UCB,20-30,0,,,,,,,,,,,,,,,10.37,,,,,
https://biotite.berkeley.edu/QRLab/102/detail,102,AA1_D3_16O-7,2022-03-17,AA,UCB,20-30,0,,,,,,4th floor Firestone 2nd row,,,1.2,0,,,,,9.963,8.992,,,,
https://biotite.berkeley.edu/QRLab/103/detail,103,AA1_D3_16O-30,2022-03-17,AA,UCB,20-30,0,,,,,,4th floor Banfield top row,,,1.2,0,,,,,10.02,8.896,,,,
https://biotite.berkeley.edu/QRLab/104/detail,104,AA1_D4_16O-0,2022-03-17,AA,UCB,30-50,0,,,,,,,,,,,,,,,10.02,,,,,
https://biotite.berkeley.edu/QRLab/105/detail,105,AA1_D4_16O-7,2022-03-17,AA,UCB,30-50,0,,,,,,4th floor Firestone 2nd row,,,1.2,0,,,,,9.976,9.171,,,,
https://biotite.berkeley.edu/QRLab/106/detail,106,AA1_D4_16O-30,2022-03-17,AA,UCB,30-50,0,,,,,,4th floor Banfield top row,,,1.2,0,,,,,9.888,9.043,,,,
https://biotite.berkeley.edu/QRLab/107/detail,107,AA1_D5_16O-0,2022-03-17,AA,UCB,50-70,0,,,,,,,,,,,,,,,10.067,,,,,
https://biotite.berkeley.edu/QRLab/108/detail,108,AA1_D5_16O-7,2022-03-17,AA,UCB,50-70,0,,,,,,4th floor Firestone 2nd row,,,1.2,0,,,,,9.852,9.23,,,,
https://biotite.berkeley.edu/QRLab/109/detail,109,AA1_D5_16O-30,2022-03-17,AA,UCB,50-70,0,,,,,,4th floor Banfield top row,,,1.2,0,,,,,9.759,9.131,,,,
https://biotite.berkeley.edu/QRLab/113/detail,113,AB1_D1_16O-0,2022-03-17,AB,UCB,0-10,0,,,,,,,,,,,,,,,5.128,,,,,
https://biotite.berkeley.edu/QRLab/114/detail,114,AB1_D1_16O-7,2022-03-17,AB,UCB,0-10,0,,,,,,4th floor Firestone 2nd row,,,0.6,0,,,,,5.055,4.298,,,,
https://biotite.berkeley.edu/QRLab/115/detail,115,AB1_D2_16O-0,2022-03-17,AB,UCB,10-20,0,,,,,,,,,,,,,,,5.01,,,,,
https://biotite.berkeley.edu/QRLab/116/detail,116,AB1_D2_16O-7,2022-03-17,AB,UCB,10-20,0,,,,,,4th floor Firestone 2nd row,,,0.6,0,,,,,5.135,4.575,,,,
https://biotite.berkeley.edu/QRLab/117/detail,117,AB1_D3_16O-0,2022-03-17,AB,UCB,20-30,0,,,,,,,,,,,,,,,10.03,,,,,
https://biotite.berkeley.edu/QRLab/118/detail,118,AB1_D3_16O-7,2022-03-17,AB,UCB,20-30,0,,,,,,4th floor Firestone 2nd row,,,1.2,0,,,,,9.804,9.051,,,,
https://biotite.berkeley.edu/QRLab/119/detail,119,AB1_D3_16O-30,2022-03-17,AB,UCB,20-30,0,,,,,,4th floor Banfield top row,,,1.2,0,,,,,9.737,8.914,,,,
https://biotite.berkeley.edu/QRLab/120/detail,120,AB1_D4_16O-0,2022-03-17,AB,UCB,30-50,0,,,,,,,,,,,,,,,10.16,,,,,
https://biotite.berkeley.edu/QRLab/121/detail,121,AB1_D4_16O-7,2022-03-17,AB,UCB,30-50,0,,,,,,4th floor Firestone 2nd row,,,1.2,0,,,,,9.713,8.967,,,,
https://biotite.berkeley.edu/QRLab/122/detail,122,AB1_D4_16O-30,2022-03-17,AB,UCB,30-50,0,,,,,,4th floor Banfield top row,,,1.2,0,,,,,9.805,9.088,,,,
https://biotite.berkeley.edu/QRLab/123/detail,123,AB1_D5_16O-0,2022-03-17,AB,UCB,50-70,0,,,,,,,,,,,,,,,10.153,,,,,
https://biotite.berkeley.edu/QRLab/124/detail,124,AB1_D5_16O-7,2022-03-17,AB,UCB,50-70,0,,,,,,4th floor Firestone 2nd row,,,1.2,0,,,,,9.512,8.987,,,,
https://biotite.berkeley.edu/QRLab/125/detail,125,AB1_D5_16O-30,2022-03-17,AB,UCB,50-70,0,,,,,,4th floor Banfield top row,,,1.2,0,,,,,9.457,8.94,,,,
https://biotite.berkeley.edu/QRLab/129/detail,129,AC1_D1_16O-0,2022-03-17,AC,UCB,0-10,0,,,,,,,,,,,,,,,5.24,,,,,
https://biotite.berkeley.edu/QRLab/130/detail,130,AC1_D1_16O-7,2022-03-17,AC,UCB,0-10,0,,,,,,4th floor Firestone 2nd row,,,0.6,0,,,,,5.112,4.367,,,,
https://biotite.berkeley.edu/QRLab/131/detail,131,AC1_D2_16O-0,2022-03-17,AC,UCB,10-20,0,,,,,,,,,,,,,,,5.14,,,,,
https://biotite.berkeley.edu/QRLab/132/detail,132,AC1_D2_16O-7,2022-03-17,AC,UCB,10-20,0,,,,,,4th floor Firestone 2nd row,,,0.6,0,,,,,5.267,4.729,,,,
https://biotite.berkeley.edu/QRLab/133/detail,133,AC1_D3_16O-0,2022-03-17,AC,UCB,20-30,0,,,,,,,,,,,,,,,10.63,,,,,
https://biotite.berkeley.edu/QRLab/134/detail,134,AC1_D3_16O-7,2022-03-17,AC,UCB,20-30,0,,,,,,4th floor Firestone 2nd row,,,1.2,0,,,,,10.321,9.406,,,,
https://biotite.berkeley.edu/QRLab/135/detail,135,AC1_D3_16O-30,2022-03-17,AC,UCB,20-30,0,,,,,,4th floor Banfield top row,,,1.2,0,,,,,10.136,9.203,,,,
https://biotite.berkeley.edu/QRLab/136/detail,136,AC1_D4_16O-0,2022-03-17,AC,UCB,30-50,0,,,,,,,,,,,,,,,10.08,,,,,
https://biotite.berkeley.edu/QRLab/137/detail,137,AC1_D4_16O-7,2022-03-17,AC,UCB,30-50,0,,,,,,4th floor Firestone 2nd row,,,1.2,0,,,,,9.721,8.749,,,,
https://biotite.berkeley.edu/QRLab/138/detail,138,AC1_D4_16O-30,2022-03-17,AC,UCB,30-50,0,,,,,,4th floor Banfield top row,,,1.2,0,,,,,9.764,8.793,,,,
https://biotite.berkeley.edu/QRLab/139/detail,139,AC1_D5_16O-0,2022-03-17,AC,UCB,50-65,0,,,,,,,,,,,,,,,10.135,,,,,
https://biotite.berkeley.edu/QRLab/140/detail,140,AC1_D5_16O-7,2022-03-17,AC,UCB,50-65,0,,,,,,4th floor Firestone 2nd row,,,1.2,0,,,,,10.175,8.886,,,,
https://biotite.berkeley.edu/QRLab/141/detail,141,AC1_D5_16O-30,2022-03-17,AC,UCB,50-65,0,,,,,,4th floor Banfield top row,,,1.2,0,,,,,10.164,8.934,,,,
https://biotite.berkeley.edu/QRLab/145/detail,145,HA1_D1_16O-0,2022-03-16,HA,UCB,0-10,0,,,,,,,,,,,,,,,5.164,,,,,
https://biotite.berkeley.edu/QRLab/146/detail,146,HA1_D1_16O-7,2022-03-16,HA,UCB,0-10,0,,,,,,4th floor Firestone 2nd row,,,0.6,0,,,,,9.65,,,,,
https://biotite.berkeley.edu/QRLab/147/detail,147,HA1_D2_16O-0,2022-03-16,HA,UCB,10-20,0,,,,,,,,,,,,,,,9.378,,,,,
https://biotite.berkeley.edu/QRLab/148/detail,148,HA1_D2_16O-7,2022-03-16,HA,UCB,10-20,0,,,,,,4th floor Firestone 2nd row,,,0.6,0,,,,,5.057,,,,,
https://biotite.berkeley.edu/QRLab/149/detail,149,HA1_D3_16O-0,2022-03-16,HA,UCB,20-30,0,,,,,,,,,,,,,,,10.005,,,,,
https://biotite.berkeley.edu/QRLab/150/detail,150,HA1_D3_16O-7,2022-03-16,HA,UCB,20-30,0,,,,,,4th floor Firestone 2nd row,,,1.2,0,,,,,9.857,,,,,
https://biotite.berkeley.edu/QRLab/151/detail,151,HA1_D3_16O-30,2022-03-16,HA,UCB,20-30,0,,,,,,4th floor Banfield mid row,,,1.2,0,,,,,10.06,,,,,
https://biotite.berkeley.edu/QRLab/152/detail,152,HA1_D4_16O-0,2022-03-16,HA,UCB,30-50,0,,,,,,,,,,,,,,,5.195,,,,,
https://biotite.berkeley.edu/QRLab/153/detail,153,HA1_D4_16O-7,2022-03-16,HA,UCB,30-50,0,,,,,,4th floor Firestone 2nd row,,,1.2,0,,,,,10.17,,,,,
https://biotite.berkeley.edu/QRLab/154/detail,154,HA1_D4_16O-30,2022-03-16,HA,UCB,30-50,0,,,,,,4th floor Banfield mid row,,,1.2,0,,,,,5.167,,,,,
https://biotite.berkeley.edu/QRLab/155/detail,155,HA1_D5_16O-0,2022-03-16,HA,UCB,50-80,0,,,,,,,,,,,,,,,10.007,,,,,
https://biotite.berkeley.edu/QRLab/156/detail,156,HA1_D5_16O-7,2022-03-16,HA,UCB,50-80,0,,,,,,4th floor Firestone 2nd row,,,1.2,0,,,,,10.328,,,,,
https://biotite.berkeley.edu/QRLab/157/detail,157,HA1_D5_16O-30,2022-03-16,HA,UCB,50-80,0,,,,,,4th floor Banfield mid row,,,1.2,0,,,,,10.187,,,,,
https://biotite.berkeley.edu/QRLab/161/detail,161,HB1_D1_16O-0,2022-03-16,HB,UCB,0-10,0,,,,,,,,,,,,,,,5.174,,,,,
https://biotite.berkeley.edu/QRLab/162/detail,162,HB1_D1_16O-7,2022-03-16,HB,UCB,0-10,0,,,,,,4th floor Firestone 2nd row,,,0.6,0,,,,,9.719,,,,,
