Samples with high stdevs for the concentration measurements:
Density thresholds:	1.72904	1.72240	1.71584	1.70770
HC4_D3_16O-7-1780-136-EFGH	 0.617_1.75383:1.73435_0.000-0.062-0.188-0.580-2.253	10.109_1.72561:1.72561_10.109	13.801_1.71905:1.71905_13.801	8.653_1.71359:1.70813_10.739-6.567	1.124_1.70266:1.66595_3.011-1.696-1.017-0.570-0.261-0.188
HC4_D3_18O-7-1794-132-EFGH	 2.590_1.75583:1.73178_0.297-0.658-1.325-3.377-7.295	17.726_1.72632:1.72632_17.726	25.231_1.71976:1.71976_25.231	15.957_1.71430:1.70993_20.047-11.868	1.689_1.70337:1.66641_4.538-2.190-1.534-0.883-0.505-0.485
HC4_D5_16O-7-1782-141-IJKL	 1.727_1.75970:1.73020_0.000-0.000-0.000-0.029-0.610-9.723	24.562_1.72493:1.72493_24.562	17.715_1.71837:1.71837_17.715	9.560_1.71509:1.71509_9.560	1.006_1.70744:1.64316_4.083-1.608-1.132-0.469-0.266-0.159-0.143-0.189
HC4_D5_18O-7-1796-139-EFGH	 1.455_1.75705:1.72974_0.020-0.114-0.630-1.049-2.035-4.880	10.448_1.72427:1.72427_10.448	7.768_1.71881:1.71881_7.768	5.185_1.71244:1.71244_5.185	0.726_1.70589:1.66037_2.592-1.160-0.623-0.298-0.173-0.112-0.122
AA4_D1_16O-7-2014-144-ABCD	 1.338_1.75787:1.73184_0.000-0.000-0.137-0.569-5.984	26.721_1.72638:1.72638_26.721	28.831_1.72091:1.72091_28.831	15.085_1.71545:1.70998_20.564-9.606	1.357_1.70253:1.64262_4.140-2.189-1.232-0.788-0.429-0.318-0.405
AA4_D1_18O-7-2029-132-MNOP	 1.561_1.75511:1.73127_0.056-0.366-0.925-2.122-4.335	10.569_1.72580:1.72580_10.569	14.575_1.71924:1.71924_14.575	11.032_1.71378:1.71378_11.032	1.601_1.70722:1.66461_5.750-2.827-1.147-0.707-0.391-0.213-0.169
AA4_D3_16O-7-2016-142-ABCD	 0.869_1.75987:1.73493_0.000-0.021-0.191-0.633-3.502	25.241_1.72837:1.72291_20.145-30.337	23.286_1.71763:1.71763_23.286	12.409_1.70998:1.70998_12.409	1.432_1.70452:1.65046_4.617-2.364-1.314-0.638-0.421-0.354-0.313
AA4_D3_18O-7-2031-133-IJKL	 1.433_1.75730:1.73217_0.028-0.473-1.173-1.788-3.703	10.252_1.72689:1.72689_10.252	14.705_1.72034:1.72034_14.705	7.881_1.71487:1.70941_10.106-5.656	0.626_1.70285:1.65914_2.050-1.123-0.528-0.303-0.165-0.096-0.119
AA4_D5_16O-7-2018-122-ABCD	 0.150_1.75648:1.73244_0.000-0.059-0.065-0.121-0.506	2.517_1.72607:1.72607_2.517	6.834_1.72061:1.72061_6.834	6.187_1.71405:1.70859_7.011-5.363	0.875_1.70203:1.66308_3.171-1.069-0.491-0.247-0.145-0.126
AA4_D5_18O-7-2033-122-EFGH	 0.868_1.75910:1.73506_0.193-0.475-0.814-1.191-1.666	3.696_1.72741:1.72741_3.696	4.839_1.71976:1.71976_4.839	4.049_1.71211:1.71211_4.049	1.570_1.70665:1.63363_3.088-2.804-2.209-1.854-1.308-0.613-0.414-0.272
AB4_D1_16O-7-2019-142-EFGH	 0.665_1.75940:1.73228_0.000-0.000-0.000-0.000-0.256-3.734	16.881_1.72572:1.72572_16.881	20.366_1.72026:1.72026_20.366	10.871_1.71479:1.70843_13.864-7.879	1.068_1.70315:1.65070_2.974-1.952-1.026-0.561-0.329-0.259-0.376
AB4_D1_18O-7-2034-129-ABCD	 2.833_1.75492:1.72998_0.168-0.603-1.395-3.659-8.342	15.935_1.72342:1.72342_15.935	15.351_1.71905:1.71905_15.351	8.972_1.71359:1.71359_8.972	1.049_1.70703:1.65149_3.789-1.616-0.953-0.477-0.233-0.117-0.159
AB4_D3_16O-7-2021-143-MNOP	 0.432_1.75951:1.73020_0.000-0.000-0.011-0.092-0.349-2.138	13.812_1.72474:1.72474_13.812	18.235_1.71818:1.71818_18.235	15.826_1.71272:1.71272_15.826	1.991_1.70725:1.62202_9.502-4.178-0.000-0.818-0.471-0.315-0.309-0.335
AB4_D3_18O-7-2036-133-ABCD	 2.124_1.75517:1.73132_0.039-0.739-1.510-2.562-5.770	16.050_1.72605:1.72605_16.050	15.942_1.71949:1.71949_15.942	11.633_1.71293:1.71293_11.633	1.521_1.70766:1.66305_6.111-2.110-1.225-0.621-0.279-0.157-0.143
AB4_D5_16O-7-2023-122-ABCD	 0.108_1.75525:1.73031_0.000-0.000-0.000-0.102-0.440	2.961_1.72485:1.72485_2.961	9.399_1.71957:1.71957_9.399	10.820_1.71302:1.71302_10.820	1.844_1.70755:1.66204_7.392-3.397-1.048-0.553-0.246-0.116-0.154
AB4_D5_18O-7-2038-122-EFGH	 0.779_1.75749:1.73364_0.000-0.349-0.917-1.228-1.403	3.639_1.72709:1.72709_3.639	7.706_1.72162:1.71635_7.800-7.612	5.287_1.70979:1.70979_5.287	0.681_1.70433:1.66608_2.316-0.892-0.453-0.196-0.105-0.125
AC4_D1_16O-7-2024-135-ABCD	 1.079_1.75460:1.72965_0.000-0.023-0.173-0.668-4.529	11.948_1.72419:1.72419_11.948	12.964_1.71782:1.71782_12.964	9.789_1.71236:1.71236_9.789	1.417_1.70580:1.66485_4.934-2.249-1.424-0.632-0.328-0.180-0.171
AC4_D1_18O-7-2039-132-MNOP	 2.735_1.75479:1.73075_0.204-0.735-1.571-3.930-7.234	16.188_1.72528:1.72528_16.188	19.923_1.71873:1.71873_19.923	16.902_1.71326:1.71326_16.902	2.604_1.70671:1.65535_9.318-3.913-2.095-1.225-0.682-0.477-0.517
AC4_D3_16O-7-2026-135-EFGH	 1.295_1.75968:1.73055_0.006-0.028-0.090-0.248-0.973-6.427	18.326_1.72509:1.72509_18.326	24.582_1.71853:1.71853_24.582	18.742_1.71198:1.71198_18.742	1.920_1.70561:1.66409_7.473-2.817-1.364-0.727-0.398-0.318-0.341
AC4_D3_18O-7-2041-129-EFGH	 1.264_1.75826:1.73531_0.113-0.334-0.804-1.650-3.416	7.863_1.72766:1.72766_7.863	13.979_1.72220:1.71673_15.461-12.497	8.551_1.71127:1.71127_8.551	1.290_1.70471:1.66209_4.310-2.003-1.177-0.676-0.417-0.238-0.208
AC4_D5_16O-7-2028-122-ABCD	 0.120_1.75749:1.73364_0.000-0.000-0.069-0.177-0.352	2.154_1.72818:1.72818_2.154	8.369_1.72162:1.72162_8.369	10.245_1.71526:1.70979_11.613-8.877	0.960_1.70433:1.65972_3.489-1.158-0.524-0.213-0.147-0.229
AC4_D5_18O-7-2043-122-IJKL	 1.710_1.75421:1.72927_0.081-0.441-1.004-1.992-5.029	7.003_1.72381:1.72381_7.003	8.451_1.71834:1.71834_8.451	7.162_1.71288:1.71288_7.162	0.902_1.70761:1.66884_2.946-1.294-0.638-0.281-0.148-0.106
AA5_D1_16O-7-2368-138-IJKL	 1.399_1.75831:1.72990_0.000-0.000-0.000-0.180-0.905-7.309	21.816_1.72334:1.72334_21.816	19.414_1.71679:1.71679_19.414	13.362_1.71132:1.71132_13.362	1.456_1.70586:1.62628_5.507-3.102-1.388-0.720-0.420-0.197-0.155-0.157
AA5_D1_18O-7-2383-149-MNOP	 4.136_1.75413:1.73028_0.496-1.309-2.871-5.006-10.997	14.365_1.72373:1.72373_14.365	10.738_1.71935:1.71935_10.738	6.223_1.71299:1.71299_6.223	0.728_1.70643:1.63341_2.506-1.204-0.670-0.334-0.139-0.121-0.123
AA5_D3_16O-7-2370-138-ABCD	 0.202_1.75839:1.73326_0.000-0.000-0.052-0.200-0.757	5.596_1.72780:1.72780_5.596	14.445_1.72124:1.71706_15.185-13.706	9.269_1.71050:1.71050_9.269	0.960_1.70504:1.64076_4.087-1.558-0.719-0.481-0.277-0.170-0.199-0.189
